"Time","Name","PID","WorkingMB"
"2025-09-01T07:10:02.2712052+05:00","Code","27800","901.43"
"2025-09-01T07:10:02.2712052+05:00","Code","24988","660.07"
"2025-09-01T07:10:02.2712052+05:00","Code","28468","417.14"
"2025-09-01T07:10:02.2712052+05:00","Code","22872","255.54"
"2025-09-01T07:10:02.2712052+05:00","msedge","22236","249.33"
"2025-09-01T07:10:02.2712052+05:00","MsMpEng","7132","116.16"
"2025-09-01T07:10:02.2712052+05:00","chrome","27508","110.48"
"2025-09-01T07:10:02.2712052+05:00","Code","25648","100.65"
"2025-09-01T07:10:02.2712052+05:00","Memory Compression","3908","97.82"
"2025-09-01T07:10:02.2712052+05:00","msedge","23772","93.23"
"2025-09-01T07:10:07.4236084+05:00","Code","24988","661.15"
"2025-09-01T07:10:07.4236084+05:00","Code","27800","546.35"
"2025-09-01T07:10:07.4236084+05:00","Code","28468","417.14"
"2025-09-01T07:10:07.4236084+05:00","msedge","22236","299"
"2025-09-01T07:10:07.4236084+05:00","Code","22872","255.47"
"2025-09-01T07:10:07.4236084+05:00","MsMpEng","7132","116.75"
"2025-09-01T07:10:07.4236084+05:00","chrome","27508","112.99"
"2025-09-01T07:10:07.4236084+05:00","msedge","22036","104.51"
"2025-09-01T07:10:07.4236084+05:00","Memory Compression","3908","100.27"
"2025-09-01T07:10:07.4236084+05:00","Code","25648","99.92"
"2025-09-01T07:10:12.4787418+05:00","Code","24988","663.52"
"2025-09-01T07:10:12.4787418+05:00","Code","27800","544.57"
"2025-09-01T07:10:12.4787418+05:00","Code","28468","417.14"
"2025-09-01T07:10:12.4787418+05:00","msedge","22236","295.75"
"2025-09-01T07:10:12.4787418+05:00","Code","22872","254.38"
"2025-09-01T07:10:12.4787418+05:00","MsMpEng","7132","114.88"
"2025-09-01T07:10:12.4787418+05:00","chrome","27508","113.01"
"2025-09-01T07:10:12.4787418+05:00","Memory Compression","3908","106.31"
"2025-09-01T07:10:12.4787418+05:00","msedge","22036","104.53"
"2025-09-01T07:10:12.4787418+05:00","Code","25648","94.96"
"2025-09-01T07:10:17.5075917+05:00","Code","24988","663.36"
"2025-09-01T07:10:17.5075917+05:00","Code","27800","541.9"
"2025-09-01T07:10:17.5075917+05:00","Code","28468","417.14"
"2025-09-01T07:10:17.5075917+05:00","msedge","22236","256.81"
"2025-09-01T07:10:17.5075917+05:00","Code","22872","254.35"
"2025-09-01T07:10:17.5075917+05:00","Memory Compression","3908","222.02"
"2025-09-01T07:10:17.5075917+05:00","chrome","27508","113.01"
"2025-09-01T07:10:17.5075917+05:00","msedge","22036","100.39"
"2025-09-01T07:10:17.5075917+05:00","Code","25648","94.73"
"2025-09-01T07:10:17.5075917+05:00","MsMpEng","7132","90.33"
