source_url,final_url,status_code,canonical,meta_robots,notes
"https://cointist.net/","https://cointist.net/",,"<link rel="canonical" href="https://cointist.net/" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news","","","", "", "error: The remote server returned an error: (404) Not Found."
"https://cointist.net/guides","https://cointist.net/guides",,"<link rel="canonical" href="https://cointist.net/guides" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/analysis","https://cointist.net/analysis",,"<link rel="canonical" href="https://cointist.net/analysis" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/reviews","","","", "", "error: The remote server returned an error: (404) Not Found."
"https://cointist.net/learning-path/beginner","https://cointist.net/learning-path/beginner",,"<link rel="canonical" href="https://cointist.net/learning-path/beginner" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/learning-path/intermediate","https://cointist.net/learning-path/intermediate",,"<link rel="canonical" href="https://cointist.net/learning-path/intermediate" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/learning-path/advanced","https://cointist.net/learning-path/advanced",,"<link rel="canonical" href="https://cointist.net/learning-path/advanced" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/guides/how-defi-protocols-work-copy","https://cointist.net/guides/how-defi-protocols-work-copy",,"<link rel="canonical" href="https://cointist.net/guides/how-defi-protocols-work" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>","canonical-differs"
"https://cointist.net/guides/how-defi-protocols-work","https://cointist.net/guides/how-defi-protocols-work",,"<link rel="canonical" href="https://cointist.net/guides/how-defi-protocols-work" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/guides/test","https://cointist.net/guides/test",,"","",""
"https://cointist.net/news/articles/bitcoin-nears-100-annual-gain-as-altcoins-grab-futures-spotlight","https://cointist.net/news/articles/bitcoin-nears-100-annual-gain-as-altcoins-grab-futures-spotlight",,"<link rel="canonical" href="https://cointist.net/news/articles/bitcoin-nears-100-annual-gain-as-altcoins-grab-futures-spotlight" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/caution-advised-amidst-cryptocurrency-market-losses","https://cointist.net/news/articles/caution-advised-amidst-cryptocurrency-market-losses",,"<link rel="canonical" href="https://cointist.net/news/articles/caution-advised-amidst-cryptocurrency-market-losses" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/google-and-coinbase-collaborate-on-ai-and-payment-solutions","https://cointist.net/news/articles/google-and-coinbase-collaborate-on-ai-and-payment-solutions",,"<link rel="canonical" href="https://cointist.net/news/articles/google-and-coinbase-collaborate-on-ai-and-payment-solutions" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/ethereum-s-q3-triumph-and-q4-challenges-a-critical-analysis","https://cointist.net/news/articles/ethereum-s-q3-triumph-and-q4-challenges-a-critical-analysis",,"<link rel="canonical" href="https://cointist.net/news/articles/ethereum-s-q3-triumph-and-q4-challenges-a-critical-analysis" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/arthur-hayes-positions-himself-ahead-of-hyperliquid-vote-by-investing-1m-in-ethena","https://cointist.net/news/articles/arthur-hayes-positions-himself-ahead-of-hyperliquid-vote-by-investing-1m-in-ethena",,"<link rel="canonical" href="https://cointist.net/news/articles/arthur-hayes-positions-himself-ahead-of-hyperliquid-vote-by-investing-1m-in-ethena" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/dogecoin-takes-the-lead-while-bitcoin-soars-to-114k-setting-the-stage-for-btc-to-catch-up","https://cointist.net/news/articles/dogecoin-takes-the-lead-while-bitcoin-soars-to-114k-setting-the-stage-for-btc-to-catch-up",,"<link rel="canonical" href="https://cointist.net/news/articles/dogecoin-takes-the-lead-while-bitcoin-soars-to-114k-setting-the-stage-for-btc-to-catch-up" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/pakistan-opens-doors-to-international-crypto-firms-for-licensing","https://cointist.net/news/articles/pakistan-opens-doors-to-international-crypto-firms-for-licensing",,"<link rel="canonical" href="https://cointist.net/news/articles/pakistan-opens-doors-to-international-crypto-firms-for-licensing" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/arthur-hayes-urges-bitcoin-investors-to-shift-their-mindset","https://cointist.net/news/articles/arthur-hayes-urges-bitcoin-investors-to-shift-their-mindset",,"<link rel="canonical" href="https://cointist.net/news/articles/arthur-hayes-urges-bitcoin-investors-to-shift-their-mindset" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/london-stock-exchange-unveils-blockchain-based-private-fund-market","https://cointist.net/news/articles/london-stock-exchange-unveils-blockchain-based-private-fund-market",,"<link rel="canonical" href="https://cointist.net/news/articles/london-stock-exchange-unveils-blockchain-based-private-fund-market" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/vitalik-buterin-critiques-ai-governance-concepts","https://cointist.net/news/articles/vitalik-buterin-critiques-ai-governance-concepts",,"<link rel="canonical" href="https://cointist.net/news/articles/vitalik-buterin-critiques-ai-governance-concepts" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/uk-push-for-blockchain-strategy-gains-momentum-following-coinbase-support","https://cointist.net/news/articles/uk-push-for-blockchain-strategy-gains-momentum-following-coinbase-support",,"<link rel="canonical" href="https://cointist.net/news/articles/uk-push-for-blockchain-strategy-gains-momentum-following-coinbase-support" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
"https://cointist.net/news/articles/details-of-the-outage","https://cointist.net/news/articles/details-of-the-outage",,"<link rel="canonical" href="https://cointist.net/news/articles/details-of-the-outage" data-next-head=""/>","<meta name="robots" content="index, follow" data-next-head=""/>",""
